fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"GA104";;"C104000018";"20221125";"17680";"20221202";"f_12813";"20221202";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;18.00;;;18.00;2000;3.60;21.60;;;;
"MG Developpement";"441407061";"517780870";;"GF14";"GRAN";"C514000002";"20221130";"17686";"20221202";"f_12814";"20221202";"20230131";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";3.00;;48.00;;;144.00;2000;28.80;172.80;;;;
"MG Developpement";"441407061";"517780870";;"GF14";"GRAN";"C514000002";"20221130";"17686";"20221202";"f_12814";"20221202";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
"MG Developpement";"441407061";"517780870";;"GF14";"GRAN";"C514000002";"20221130";"17686";"20221202";"f_12814";"20221202";"20230131";"FA";"EUR";"3661871126076";"3661871126076";"GOBELET DE SECHAGE (GA) - Pack de 20";"Séchage";2.00;;24.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"GF14";"GRAN";"C514000002";"20221130";"17686";"20221202";"f_12814";"20221202";"20230131";"FA";"EUR";"3661871126144";"3661871126144";"SPRAY GAZ SECHAGE 150ML (GA) - Pack de 12";"Séchage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GA201";"GRAN";"C201001722";"20221125";"17687";"20221202";"f_12815";"20221202";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";4.00;;58.80;;;235.20;2000;47.04;282.24;;;;
"MG Developpement";"441407061";"517780870";;"GA201";"GRAN";"C201001722";"20221125";"17687";"20221202";"f_12815";"20221202";"20230131";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"GA201";"GRAN";"C201001722";"20221125";"17687";"20221202";"f_12815";"20221202";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";5.00;;42.00;;;210.00;2000;42.00;252.00;;;;
"MG Developpement";"441407061";"517780870";;"GA201";"GRAN";"C201001722";"20221125";"17687";"20221202";"f_12815";"20221202";"20230131";"FA";"EUR";"3661871126144";"3661871126144";"SPRAY GAZ SECHAGE 150ML (GA) - Pack de 12";"Séchage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"GA106";"GRAN";"C106000032";"20221201";"17706";"20221205";"f_12826";"20221205";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"GA106";"GRAN";"C106000032";"20221201";"17706";"20221205";"f_12826";"20221205";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"GA106";;"C106000032";"20221201";"17706";"20221205";"f_12826";"20221205";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;18.00;;;18.00;2000;3.60;21.60;;;;
"MG Developpement";"441407061";"517780870";;"533";"ACUI";"C533001518";"20221130";"17707";"20221205";"f_12827";"20221205";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"533";;"C533001518";"20221130";"17707";"20221205";"f_12827";"20221205";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;9.50;;;9.50;2000;1.90;11.40;;;;
"MG Developpement";"441407061";"517780870";;"569";"ACUI";"001569";"20221124";"17766";"20221208";"f_12852";"20221208";"20230131";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";2.00;;48.00;;;96.00;2000;19.20;115.20;;;;
