fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"GF16";"GRAN";"C516000004";"20221118";"17499";"20221123";"f_12721";"20221123";"20230131";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"GF16";"GRAN";"C516000004";"20221118";"17499";"20221123";"f_12721";"20221123";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GF16";"GRAN";"C516000004";"20221118";"17499";"20221123";"f_12721";"20221123";"20230131";"FA";"EUR";"3661871126076";"3661871126076";"GOBELET DE SECHAGE (GA) - Pack de 20";"Séchage";1.00;;24.00;;;24.00;2000;4.80;28.80;;;;
"MG Developpement";"441407061";"517780870";;"GF16";"GRAN";"C516000004";"20221118";"17499";"20221123";"f_12721";"20221123";"20230131";"FA";"EUR";"3661871126144";"3661871126144";"SPRAY GAZ SECHAGE 150ML (GA) - Pack de 12";"Séchage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GF16";;"C516000004";"20221118";"17499";"20221123";"f_12721";"20221123";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"GF12";"GRAN";"C512000002";"20221118";"17500";"20221123";"f_12722";"20221123";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"GF12";"GRAN";"C512000002";"20221118";"17500";"20221123";"f_12722";"20221123";"20230131";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"GF12";"GRAN";"C512000002";"20221118";"17500";"20221123";"f_12722";"20221123";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GF12";"GRAN";"C512000002";"20221118";"17500";"20221123";"f_12722";"20221123";"20230131";"FA";"EUR";"3661871126076";"3661871126076";"GOBELET DE SECHAGE (GA) - Pack de 20";"Séchage";1.00;;24.00;;;24.00;2000;4.80;28.80;;;;
"MG Developpement";"441407061";"517780870";;"GF12";;"C512000002";"20221118";"17500";"20221123";"f_12722";"20221123";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
